,day,num_trips
587,2016-08-10,91364
588,2016-08-11,101023
589,2016-08-12,108679
590,2016-08-13,89276
591,2016-08-14,74714
592,2016-08-15,82144
593,2016-08-16,83658
594,2016-08-17,90730
595,2016-08-18,97017
596,2016-08-19,96497
597,2016-08-20,87145
598,2016-08-21,76848
599,2016-08-22,75201
600,2016-08-23,80084
601,2016-08-24,84220
602,2016-08-25,86178
603,2016-08-26,91868
604,2016-08-27,85520
605,2016-08-28,68425
606,2016-08-29,75045
607,2016-08-30,81344
608,2016-08-31,80122
609,2016-09-01,85453
610,2016-09-02,84417
611,2016-09-03,74214
612,2016-09-04,70249
613,2016-09-05,47985
614,2016-09-06,74834
615,2016-09-07,82702
616,2016-09-08,88876
617,2016-09-09,91711
618,2016-09-10,73612
619,2016-09-11,66824
620,2016-09-12,77682
621,2016-09-13,89101
622,2016-09-14,95984
623,2016-09-15,103592
624,2016-09-16,108121
625,2016-09-17,86933
626,2016-09-18,72566
627,2016-09-19,89016
628,2016-09-20,87977
629,2016-09-21,95129
630,2016-09-22,99540
631,2016-09-23,102532
632,2016-09-24,87700
633,2016-09-25,73530
634,2016-09-26,78388
635,2016-09-27,82699
636,2016-09-28,98292
637,2016-09-29,96035
638,2016-09-30,67356
639,2016-10-01,78265
640,2016-10-02,63745
641,2016-10-03,69023
642,2016-10-04,80698
643,2016-10-05,89238
644,2016-10-06,99584
645,2016-10-07,101559
646,2016-10-08,86396
647,2016-10-09,71883
648,2016-10-10,66651
649,2016-10-11,76558
650,2016-10-12,87379
651,2016-10-13,96582
652,2016-10-14,108812
653,2016-10-15,92862
654,2016-10-16,86108
655,2016-10-17,87769
656,2016-10-18,88434
657,2016-10-19,90622
658,2016-10-20,98369
659,2016-10-21,104605
660,2016-10-22,89647
661,2016-10-23,77042
662,2016-10-24,83876
663,2016-10-25,92535
664,2016-10-26,102754
665,2016-10-27,98753
666,2016-10-28,104842
667,2016-10-29,94198
668,2016-10-30,80297
669,2016-10-31,76696
670,2016-11-01,80187
671,2016-11-02,93749
672,2016-11-03,111153
673,2016-11-04,103715
674,2016-11-05,95492
675,2016-11-06,78679
676,2016-11-07,85817
677,2016-11-08,87082
678,2016-11-09,90915
679,2016-11-10,91710
680,2016-11-11,90496
681,2016-11-12,74594
682,2016-11-13,61437
683,2016-11-14,71052
684,2016-11-15,81043
685,2016-11-16,89270
686,2016-11-17,92305
687,2016-11-18,101918
688,2016-11-19,77034
689,2016-11-20,57210
690,2016-11-21,65765
691,2016-11-22,69171
692,2016-11-23,62120
693,2016-11-24,34073
694,2016-11-25,48270
695,2016-11-26,63677
696,2016-11-27,61917
697,2016-11-28,89221
698,2016-11-29,86441
699,2016-11-30,92824
700,2016-12-01,101296
701,2016-12-02,103315
702,2016-12-03,84231
703,2016-12-04,67562
704,2016-12-05,76841
705,2016-12-06,82905
706,2016-12-07,91454
707,2016-12-08,103751
708,2016-12-09,106909
709,2016-12-10,83210
710,2016-12-11,56032
711,2016-12-12,78014
712,2016-12-13,88997
713,2016-12-14,97175
714,2016-12-15,104052
715,2016-12-16,109193
716,2016-12-17,80752
717,2016-12-18,61529
718,2016-12-19,79275
719,2016-12-20,81086
720,2016-12-21,77475
721,2016-12-22,73103
722,2016-12-23,63587
723,2016-12-24,36267
724,2016-12-25,18447
725,2016-12-26,33833
726,2016-12-27,51803
727,2016-12-28,56003
728,2016-12-29,59662
729,2016-12-30,63139
730,2016-12-31,42713
731,2017-01-01,58411
732,2017-01-02,34471
733,2017-01-03,51919
734,2017-01-04,62716
735,2017-01-05,74213
736,2017-01-06,80187
737,2017-01-07,57849
738,2017-01-08,46790
739,2017-01-09,64415
740,2017-01-10,74744
741,2017-01-11,75077
742,2017-01-12,77336
743,2017-01-13,80359
744,2017-01-14,57878
745,2017-01-15,48333
746,2017-01-16,50654
747,2017-01-17,66871
748,2017-01-18,68667
749,2017-01-19,78826
750,2017-01-20,75972
751,2017-01-21,57954
752,2017-01-22,45440
753,2017-01-23,60648
754,2017-01-24,65601
755,2017-01-25,69453
756,2017-01-26,75109
757,2017-01-27,80876
758,2017-01-28,57794
759,2017-01-29,45917
760,2017-01-30,61918
761,2017-01-31,65673
762,2017-02-01,69933
763,2017-02-02,77891
764,2017-02-03,79308
765,2017-02-04,55633
766,2017-02-05,46106
767,2017-02-06,61457
768,2017-02-07,70343
769,2017-02-08,74786
770,2017-02-09,80116
771,2017-02-10,79427
772,2017-02-11,61121
773,2017-02-12,48043
774,2017-02-13,60183
775,2017-02-14,68108
776,2017-02-15,74180
777,2017-02-16,77135
778,2017-02-17,75074
779,2017-02-18,65835
780,2017-02-19,52818
